0 good agents
1 good agents
2 good agents
3 good agents
4 good agents
5 good agents
Using good policy mmmddpg and bad policy mmmddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: 89.4371836987414, time: 78.34
steps: 49975, episodes: 2000, mean episode reward: 51.00262235695058, time: 125.221
steps: 74975, episodes: 3000, mean episode reward: 53.982048147255796, time: 118.823
steps: 99975, episodes: 4000, mean episode reward: 61.1190016564105, time: 119.091
steps: 124975, episodes: 5000, mean episode reward: 62.34388116797205, time: 121.342
steps: 149975, episodes: 6000, mean episode reward: 63.02581573128659, time: 122.352
steps: 174975, episodes: 7000, mean episode reward: 66.72536486720179, time: 120.785
steps: 199975, episodes: 8000, mean episode reward: 67.96937171538704, time: 120.874
steps: 224975, episodes: 9000, mean episode reward: 68.67785108398769, time: 120.108
steps: 249975, episodes: 10000, mean episode reward: 71.28828697355263, time: 120.249
steps: 274975, episodes: 11000, mean episode reward: 68.19535887431998, time: 121.72
steps: 299975, episodes: 12000, mean episode reward: 68.56938359392997, time: 121.279
steps: 324975, episodes: 13000, mean episode reward: 68.828364842255, time: 121.836
steps: 349975, episodes: 14000, mean episode reward: 69.24600412325442, time: 122.186
steps: 374975, episodes: 15000, mean episode reward: 70.14030155102243, time: 121.533
steps: 399975, episodes: 16000, mean episode reward: 70.65695066826497, time: 119.89
steps: 424975, episodes: 17000, mean episode reward: 68.14562483865632, time: 121.164
steps: 449975, episodes: 18000, mean episode reward: 68.00403023548049, time: 121.083
steps: 474975, episodes: 19000, mean episode reward: 68.93657878694071, time: 120.439
steps: 499975, episodes: 20000, mean episode reward: 68.92871857168234, time: 122.25
steps: 524975, episodes: 21000, mean episode reward: 69.31381082019266, time: 121.683
steps: 549975, episodes: 22000, mean episode reward: 69.94163237098526, time: 120.105
steps: 574975, episodes: 23000, mean episode reward: 67.85335282105248, time: 121.313
steps: 599975, episodes: 24000, mean episode reward: 66.51248546764762, time: 120.693
steps: 624975, episodes: 25000, mean episode reward: 65.75655742733765, time: 121.774
steps: 649975, episodes: 26000, mean episode reward: 66.92073298261498, time: 121.016
steps: 674975, episodes: 27000, mean episode reward: 65.96560191457736, time: 120.773
steps: 699975, episodes: 28000, mean episode reward: 67.67135396399361, time: 122.62
steps: 724975, episodes: 29000, mean episode reward: 66.59359496835523, time: 121.286
steps: 749975, episodes: 30000, mean episode reward: 66.92466465956724, time: 120.801
steps: 774975, episodes: 31000, mean episode reward: 65.98119091874291, time: 121.191
steps: 799975, episodes: 32000, mean episode reward: 68.01274176458028, time: 120.964
steps: 824975, episodes: 33000, mean episode reward: 67.65397181282788, time: 122.256
steps: 849975, episodes: 34000, mean episode reward: 69.80914004432023, time: 124.861
steps: 874975, episodes: 35000, mean episode reward: 67.94422094312107, time: 123.583
steps: 899975, episodes: 36000, mean episode reward: 68.91467761894961, time: 121.682
steps: 924975, episodes: 37000, mean episode reward: 71.44147381541107, time: 122.738
steps: 949975, episodes: 38000, mean episode reward: 70.72887080791573, time: 120.614
steps: 974975, episodes: 39000, mean episode reward: 69.56366547300489, time: 121.667
steps: 999975, episodes: 40000, mean episode reward: 71.51943958537059, time: 123.878
steps: 1024975, episodes: 41000, mean episode reward: 70.04127837016695, time: 123.216
steps: 1049975, episodes: 42000, mean episode reward: 69.16699521293356, time: 122.429
steps: 1074975, episodes: 43000, mean episode reward: 65.50738444636592, time: 122.641
steps: 1099975, episodes: 44000, mean episode reward: 67.47734140197556, time: 118.744
steps: 1124975, episodes: 45000, mean episode reward: 43.31969973148205, time: 106.119
steps: 1149975, episodes: 46000, mean episode reward: 47.830779359802854, time: 107.477
steps: 1174975, episodes: 47000, mean episode reward: 33.9348277869224, time: 106.949
steps: 1199975, episodes: 48000, mean episode reward: 39.97503122267332, time: 106.359
steps: 1224975, episodes: 49000, mean episode reward: 56.000038576490425, time: 106.513
steps: 1249975, episodes: 50000, mean episode reward: 46.80160701028507, time: 106.275
steps: 1274975, episodes: 51000, mean episode reward: 41.303035291656855, time: 108.987
steps: 1299975, episodes: 52000, mean episode reward: 45.55281224796246, time: 107.627
steps: 1324975, episodes: 53000, mean episode reward: 29.5108422065594, time: 107.03
steps: 1349975, episodes: 54000, mean episode reward: 56.102970786180286, time: 107.055
steps: 1374975, episodes: 55000, mean episode reward: 81.20033370239538, time: 107.633
steps: 1399975, episodes: 56000, mean episode reward: 80.27202544250879, time: 107.201
steps: 1424975, episodes: 57000, mean episode reward: 81.87189796128936, time: 108.596
steps: 1449975, episodes: 58000, mean episode reward: 83.19907408245918, time: 107.853
steps: 1474975, episodes: 59000, mean episode reward: 80.27239678708533, time: 107.259
steps: 1499975, episodes: 60000, mean episode reward: 81.62025700245233, time: 108.159
...Finished total of 60001 episodes.
