0 good agents
1 good agents
2 good agents
3 good agents
Using good policy mmmddpg and bad policy mmmddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -69.27559181930363, time: 54.036
steps: 49975, episodes: 2000, mean episode reward: -53.61886169793904, time: 78.917
steps: 74975, episodes: 3000, mean episode reward: -27.985974083244685, time: 75.639
steps: 99975, episodes: 4000, mean episode reward: -25.708046627283395, time: 75.039
steps: 124975, episodes: 5000, mean episode reward: -25.257254087030603, time: 75.616
steps: 149975, episodes: 6000, mean episode reward: -25.313127359568284, time: 75.373
steps: 174975, episodes: 7000, mean episode reward: -25.58369158102365, time: 75.609
steps: 199975, episodes: 8000, mean episode reward: -25.54988701445835, time: 76.503
steps: 224975, episodes: 9000, mean episode reward: -25.102765205801195, time: 76.354
steps: 249975, episodes: 10000, mean episode reward: -25.380553220830485, time: 76.159
steps: 274975, episodes: 11000, mean episode reward: -25.295887475782024, time: 76.829
steps: 299975, episodes: 12000, mean episode reward: -25.093256944489134, time: 76.648
steps: 324975, episodes: 13000, mean episode reward: -24.6555683928344, time: 75.592
steps: 349975, episodes: 14000, mean episode reward: -24.499098238368962, time: 75.889
steps: 374975, episodes: 15000, mean episode reward: -24.874668774990525, time: 76.075
steps: 399975, episodes: 16000, mean episode reward: -25.63631418620219, time: 76.184
steps: 424975, episodes: 17000, mean episode reward: -25.14054635988838, time: 76.596
steps: 449975, episodes: 18000, mean episode reward: -25.256422864149155, time: 76.554
steps: 474975, episodes: 19000, mean episode reward: -25.302723947004324, time: 75.821
steps: 499975, episodes: 20000, mean episode reward: -25.005888517635643, time: 77.991
steps: 524975, episodes: 21000, mean episode reward: -25.191747768200035, time: 77.314
steps: 549975, episodes: 22000, mean episode reward: -25.228608829416512, time: 76.054
steps: 574975, episodes: 23000, mean episode reward: -25.28962641359693, time: 75.789
steps: 599975, episodes: 24000, mean episode reward: -24.66668305214999, time: 75.794
steps: 624975, episodes: 25000, mean episode reward: -24.769032473819333, time: 75.718
steps: 649975, episodes: 26000, mean episode reward: -24.443686348353534, time: 75.678
steps: 674975, episodes: 27000, mean episode reward: -24.885282158101848, time: 76.0
steps: 699975, episodes: 28000, mean episode reward: -24.49034322458448, time: 76.142
steps: 724975, episodes: 29000, mean episode reward: -24.916022082130052, time: 76.042
steps: 749975, episodes: 30000, mean episode reward: -24.42057068783423, time: 77.215
steps: 774975, episodes: 31000, mean episode reward: -24.698558436461475, time: 77.061
steps: 799975, episodes: 32000, mean episode reward: -24.393177259657936, time: 76.197
steps: 824975, episodes: 33000, mean episode reward: -25.069332480096225, time: 76.532
steps: 849975, episodes: 34000, mean episode reward: -25.247932148388305, time: 76.666
steps: 874975, episodes: 35000, mean episode reward: -25.849563562100624, time: 76.152
steps: 899975, episodes: 36000, mean episode reward: -25.588697417050167, time: 76.659
steps: 924975, episodes: 37000, mean episode reward: -25.20853868590515, time: 76.838
steps: 949975, episodes: 38000, mean episode reward: -24.560970808516927, time: 76.964
steps: 974975, episodes: 39000, mean episode reward: -25.139151295867464, time: 75.876
steps: 999975, episodes: 40000, mean episode reward: -25.065024287942162, time: 75.942
steps: 1024975, episodes: 41000, mean episode reward: -25.042147840380487, time: 76.972
steps: 1049975, episodes: 42000, mean episode reward: -24.90302048259088, time: 76.582
steps: 1074975, episodes: 43000, mean episode reward: -25.287102343391187, time: 75.259
steps: 1099975, episodes: 44000, mean episode reward: -26.160751238649066, time: 76.964
steps: 1124975, episodes: 45000, mean episode reward: -25.33106031044976, time: 75.919
steps: 1149975, episodes: 46000, mean episode reward: -25.622620039440868, time: 75.881
steps: 1174975, episodes: 47000, mean episode reward: -25.56811085561804, time: 77.068
steps: 1199975, episodes: 48000, mean episode reward: -25.416991837662064, time: 76.146
steps: 1224975, episodes: 49000, mean episode reward: -25.179591454493462, time: 76.371
steps: 1249975, episodes: 50000, mean episode reward: -26.869162185287315, time: 76.205
steps: 1274975, episodes: 51000, mean episode reward: -26.199977945349545, time: 76.894
steps: 1299975, episodes: 52000, mean episode reward: -25.18475363065472, time: 75.828
steps: 1324975, episodes: 53000, mean episode reward: -25.744862993160837, time: 76.403
steps: 1349975, episodes: 54000, mean episode reward: -26.062355446025286, time: 76.225
steps: 1374975, episodes: 55000, mean episode reward: -27.719119493830334, time: 76.15
steps: 1399975, episodes: 56000, mean episode reward: -28.087082742644778, time: 75.64
steps: 1424975, episodes: 57000, mean episode reward: -28.960128964536395, time: 75.875
steps: 1449975, episodes: 58000, mean episode reward: -28.03752501020424, time: 76.863
steps: 1474975, episodes: 59000, mean episode reward: -26.588466314844933, time: 75.946
steps: 1499975, episodes: 60000, mean episode reward: -25.769892176596855, time: 75.897
...Finished total of 60001 episodes.
