0 good agents
1 good agents
2 good agents
3 good agents
4 good agents
5 good agents
6 good agents
7 good agents
Using good policy mmmddpg and bad policy mmmddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: 40.92629125817628, time: 154.991
steps: 49975, episodes: 2000, mean episode reward: 62.1554992771235, time: 228.713
steps: 74975, episodes: 3000, mean episode reward: 87.963733095477, time: 224.996
steps: 99975, episodes: 4000, mean episode reward: 97.91814475827317, time: 225.645
steps: 124975, episodes: 5000, mean episode reward: 104.67787042788868, time: 224.908
steps: 149975, episodes: 6000, mean episode reward: 106.5709964336252, time: 225.419
steps: 174975, episodes: 7000, mean episode reward: 106.79271822912614, time: 225.67
steps: 199975, episodes: 8000, mean episode reward: 121.67601010550679, time: 225.323
steps: 224975, episodes: 9000, mean episode reward: 125.76706578219037, time: 225.698
steps: 249975, episodes: 10000, mean episode reward: 138.3423003317457, time: 223.788
steps: 274975, episodes: 11000, mean episode reward: 146.02817277315341, time: 223.977
steps: 299975, episodes: 12000, mean episode reward: 158.5398605079007, time: 223.522
steps: 324975, episodes: 13000, mean episode reward: 171.95763431152233, time: 224.096
steps: 349975, episodes: 14000, mean episode reward: 176.0745303976331, time: 224.929
steps: 374975, episodes: 15000, mean episode reward: 177.50620680844324, time: 224.979
steps: 399975, episodes: 16000, mean episode reward: 186.79179457125682, time: 224.186
steps: 424975, episodes: 17000, mean episode reward: 183.29056971812145, time: 222.183
steps: 449975, episodes: 18000, mean episode reward: 176.0558003590939, time: 225.002
steps: 474975, episodes: 19000, mean episode reward: 156.28758598472183, time: 225.375
steps: 499975, episodes: 20000, mean episode reward: 141.14486573371153, time: 225.329
steps: 524975, episodes: 21000, mean episode reward: 119.18857209112007, time: 205.896
steps: 549975, episodes: 22000, mean episode reward: 109.88195244437973, time: 177.789
steps: 574975, episodes: 23000, mean episode reward: 99.1591959371306, time: 219.717
steps: 599975, episodes: 24000, mean episode reward: 103.76507335044579, time: 214.797
steps: 624975, episodes: 25000, mean episode reward: 89.65755627496956, time: 215.217
steps: 649975, episodes: 26000, mean episode reward: 105.34667128430148, time: 216.091
steps: 674975, episodes: 27000, mean episode reward: 97.74110122417453, time: 216.629
steps: 699975, episodes: 28000, mean episode reward: 108.39196743897789, time: 216.816
steps: 724975, episodes: 29000, mean episode reward: 104.87218223145445, time: 217.334
steps: 749975, episodes: 30000, mean episode reward: 105.8645852615532, time: 217.914
steps: 774975, episodes: 31000, mean episode reward: 105.65896265115367, time: 218.157
steps: 799975, episodes: 32000, mean episode reward: 104.49980506244881, time: 217.848
steps: 824975, episodes: 33000, mean episode reward: 100.72704658986372, time: 214.833
steps: 849975, episodes: 34000, mean episode reward: 103.00527599840674, time: 216.184
steps: 874975, episodes: 35000, mean episode reward: 115.01547182652895, time: 217.452
steps: 899975, episodes: 36000, mean episode reward: 109.56513695587668, time: 179.836
steps: 924975, episodes: 37000, mean episode reward: 117.88958729871912, time: 183.241
steps: 949975, episodes: 38000, mean episode reward: 119.09116863028292, time: 183.381
steps: 974975, episodes: 39000, mean episode reward: 122.17001045690323, time: 183.483
steps: 999975, episodes: 40000, mean episode reward: 123.51548442671326, time: 183.412
steps: 1024975, episodes: 41000, mean episode reward: 128.0991972678885, time: 182.782
steps: 1049975, episodes: 42000, mean episode reward: 133.83562990374892, time: 185.047
steps: 1074975, episodes: 43000, mean episode reward: 140.58291659139016, time: 183.331
steps: 1099975, episodes: 44000, mean episode reward: 143.7876867504103, time: 183.621
steps: 1124975, episodes: 45000, mean episode reward: 153.5527282933481, time: 184.519
steps: 1149975, episodes: 46000, mean episode reward: 141.15749862230658, time: 183.855
steps: 1174975, episodes: 47000, mean episode reward: 118.28442501702186, time: 180.733
steps: 1199975, episodes: 48000, mean episode reward: 118.1186407685823, time: 181.987
steps: 1224975, episodes: 49000, mean episode reward: 102.73105887867312, time: 184.942
steps: 1249975, episodes: 50000, mean episode reward: 105.87055571014838, time: 181.15
steps: 1274975, episodes: 51000, mean episode reward: 113.64636385010179, time: 179.771
steps: 1299975, episodes: 52000, mean episode reward: 133.13898169315019, time: 182.136
steps: 1324975, episodes: 53000, mean episode reward: 122.74634252315074, time: 185.061
steps: 1349975, episodes: 54000, mean episode reward: 119.94771051287643, time: 183.927
steps: 1374975, episodes: 55000, mean episode reward: 130.51428274201686, time: 182.676
steps: 1399975, episodes: 56000, mean episode reward: 120.09488239001367, time: 181.559
steps: 1424975, episodes: 57000, mean episode reward: 133.15213104731063, time: 181.234
steps: 1449975, episodes: 58000, mean episode reward: 119.58313721238665, time: 181.488
steps: 1474975, episodes: 59000, mean episode reward: 123.35604725186884, time: 185.227
steps: 1499975, episodes: 60000, mean episode reward: 127.99019388045555, time: 184.554
...Finished total of 60001 episodes.
