0 good agents
1 good agents
2 good agents
3 good agents
4 good agents
5 good agents
Using good policy mmmddpg and bad policy mmmddpg with 0 adversaries
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -3472.9980023891844, time: 128.784
steps: 49975, episodes: 2000, mean episode reward: -4305.427290836183, time: 169.703
steps: 74975, episodes: 3000, mean episode reward: -3671.859319652862, time: 168.534
steps: 99975, episodes: 4000, mean episode reward: -3337.20842564519, time: 169.717
steps: 124975, episodes: 5000, mean episode reward: -3297.158952505652, time: 167.299
steps: 149975, episodes: 6000, mean episode reward: -3299.230795416591, time: 168.025
steps: 174975, episodes: 7000, mean episode reward: -3276.6810326581112, time: 168.194
steps: 199975, episodes: 8000, mean episode reward: -3227.9826869295, time: 166.145
steps: 224975, episodes: 9000, mean episode reward: -3222.396641553712, time: 166.06
steps: 249975, episodes: 10000, mean episode reward: -3214.067248627472, time: 168.303
steps: 274975, episodes: 11000, mean episode reward: -3228.1664183023563, time: 167.133
steps: 299975, episodes: 12000, mean episode reward: -3219.050139105537, time: 170.147
steps: 324975, episodes: 13000, mean episode reward: -3244.380394476988, time: 169.79
steps: 349975, episodes: 14000, mean episode reward: -3281.786021799703, time: 169.829
steps: 374975, episodes: 15000, mean episode reward: -3241.956340246396, time: 167.046
steps: 399975, episodes: 16000, mean episode reward: -3227.4765136671217, time: 169.007
steps: 424975, episodes: 17000, mean episode reward: -3267.6350946218167, time: 169.437
steps: 449975, episodes: 18000, mean episode reward: -3253.2114165942266, time: 166.732
steps: 474975, episodes: 19000, mean episode reward: -3262.541302877643, time: 168.361
steps: 499975, episodes: 20000, mean episode reward: -3257.6896071010337, time: 170.506
steps: 524975, episodes: 21000, mean episode reward: -3242.266367483935, time: 168.987
steps: 549975, episodes: 22000, mean episode reward: -3258.5457712303605, time: 169.271
steps: 574975, episodes: 23000, mean episode reward: -3234.3399262281278, time: 170.75
steps: 599975, episodes: 24000, mean episode reward: -3252.487101924156, time: 168.136
steps: 624975, episodes: 25000, mean episode reward: -3235.3103532151517, time: 174.494
steps: 649975, episodes: 26000, mean episode reward: -3238.2087354619857, time: 169.82
steps: 674975, episodes: 27000, mean episode reward: -3225.6757012043877, time: 170.503
steps: 699975, episodes: 28000, mean episode reward: -3243.635637184087, time: 173.478
steps: 724975, episodes: 29000, mean episode reward: -3240.098151567999, time: 168.381
steps: 749975, episodes: 30000, mean episode reward: -3224.6855521211005, time: 171.273
steps: 774975, episodes: 31000, mean episode reward: -3211.3326784037486, time: 171.526
